veerajrvername,Name,argu
pnoweas5,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pveerajwnav1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pveerajwnav3,Disabled Netbios,"-ExecutionPolicy Bypass -File \\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pveerajwnav4,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pveerajwnav6,Disabled Netbios,"-ExecutionPolicy Bypass -File \\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pveerajwnav8,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
qveerajwnav1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wait01801,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wait01802,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wapl00410v,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wapl00413v,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wapl00522,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40101dci,Clear-ArchiveLog,#NAME?
veeraj40101pargo,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wsit01802,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wafre4zd01aso,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj-electric.com\sysvol\veeraj.veeraj-electric.com\Policies\{B479EAE4-9C27-4973-A7CD-7CA49FC5E75A}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wafre4zd01pso,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj-electric.com\sysvol\veeraj.veeraj-electric.com\Policies\{B479EAE4-9C27-4973-A7CD-7CA49FC5E75A}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wafre4zd01tso,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj-electric.com\sysvol\veeraj.veeraj-electric.com\Policies\{B479EAE4-9C27-4973-A7CD-7CA49FC5E75A}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pcewbrt01,Disabled Netbios,"\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Shutdown\DisabledNetBios.ps1"""
pfrwweb2,Disabled Netbios,"\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Shutdown\DisabledNetBios.ps1"""
qcewbrt01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40104av,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj401p03veerajnt,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wpfr4010jira,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wvveeraj0001sap,AIC fetch,"-noprofile -executionpolicy Bypass -file ""C:\Program Files\ansible\GTS\CIT\pack_compress_fetch.ps1"""
wvveeraj0001sap,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pdewccv2,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
qfrwrit3,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40103jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40125jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
sunipd025,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40122jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40123jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wveerajurmdp01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
